Time (ms),Voltage (mV)
8143.278121948242,2880.5625
8150.222539901733,2519.4375
8157.135486602783,2066.0625
8164.896011352539,1530.9375
8171.706438064575,1162.125
8179.322004318237,947.25
8186.053276062012,925.6875
8194.46325302124,1198.125
8201.514482498169,1581.5625
8208.896160125732,2042.4375
8215.995788574219,2567.625
8223.081588745117,2914.5
8230.839014053345,3109.6875
8237.616777420044,3063.375
8245.248079299927,2827.5
8252.07805633545,2444.4375
8259.39130783081,1904.4375
8266.398191452026,1458.0
8273.30207824707,1111.5
8281.063795089722,917.0625
8287.845611572266,964.3125
8295.494079589844,1201.125
8302.618741989136,1658.8125
8310.219526290894,2125.5
8317.200660705566,2637.9375
8323.984861373901,2959.6875
8331.592321395874,3110.25
8338.356971740723,3062.4375
8345.983028411865,2769.1875
8353.389263153076,2366.625
8362.493515014648,1745.25
8370.227813720703,1264.6875
8377.8235912323,967.875
8384.730815887451,915.9375
8391.584634780884,1063.125
8398.618936538696,1382.0625
8405.585765838623,1815.375
8414.107322692871,2433.9375
8421.217203140259,2820.0
8430.976152420044,3110.4375
8437.779664993286,3061.125
8446.589946746826,2766.375
8453.423023223877,2362.6875
8461.066007614136,1818.375
8467.896461486816,1384.3125
8474.871635437012,1064.4375
8482.029676437378,910.5
8488.899230957031,994.3125
8496.44660949707,1262.4375
8503.219366073608,1666.5
8510.95199584961,2211.1875
8518.9049243927,2707.5
8526.017665863037,3001.3125
8534.018993377686,3116.0625
8540.871620178223,2999.0625
8548.253536224365,2640.5625
8555.008888244629,2206.3125
8562.392711639404,1737.5625
8569.231033325195,1318.125
8576.385021209717,992.25
8584.442377090454,916.875
8591.351747512817,1067.0625
8598.520040512085,1388.4375
8605.395078659058,1823.625
8614.00318145752,2441.0625
8620.840072631836,2825.25
8628.140449523926,3062.625
8634.934663772583,3110.0625
8641.935110092163,2958.9375
8649.970531463623,2570.625
8656.863927841187,2124.5625
8664.217948913574,1584.375
8671.050071716309,1200.5625
8678.279161453247,964.125
8685.099840164185,917.0625
8692.703247070312,1112.25
8700.830459594727,1528.125
8707.791566848755,1983.9375
8715.885162353516,2516.0625
8723.865985870361,2925.9375
8731.287240982056,3111.9375
8738.065719604492,3057.1875
8745.316982269287,2813.625
8752.120018005371,2425.6875
8759.207725524902,1962.9375
8766.243934631348,1509.5625
8773.229360580444,1099.875
8782.003164291382,915.1875
8790.024042129517,999.1875
8797.288417816162,1331.625
8804.115533828735,1753.875
8811.15174293518,2223.0
8818.033218383789,2654.25
8825.252056121826,2969.8125
8832.33118057251,3116.625
8839.140176773071,3027.1875
8848.124265670776,2694.1875
8854.93278503418,2271.75
8862.873315811157,1725.9375
8871.206521987915,1195.3125
8878.78155708313,961.5
8885.6201171875,918.1875
8892.956256866455,1116.9375
8901.034832000732,1535.625
8907.968044281006,1992.0
8915.36831855774,2523.5625
8922.393083572388,2884.3125
8930.142164230347,3102.375
8938.079357147217,3054.375
8945.557117462158,2808.0
8952.34751701355,2418.375
